1733425655.322994,4,13,7,1,10491
1733425655.664622,4,13,7,0,10491
1733425655.664687,4,13,7,0,0
1733425655.740938,4,13,7,1,10491
1733425655.974175,4,13,7,0,10491
1733425655.974241,4,13,7,0,0
1733425656.048578,4,13,7,1,10491
1733425656.288034,4,13,7,0,10491
1733425656.288106,4,13,7,0,0
1733425656.364038,4,13,7,1,10491
1733425656.590856,4,13,7,0,10491
1733425656.590913,4,13,7,0,0
1733425656.665738,4,13,7,1,10491
1733425656.939021,4,13,7,0,10491
1733425656.939086,4,13,7,0,0
1733425657.050237,4,13,7,1,10491
1733425657.287457,4,13,7,0,10491
1733425657.287517,4,13,7,0,0
1733425657.434642,4,13,7,1,10491
1733425657.667697,4,13,7,0,10491
1733425657.667749,4,13,7,0,0
1733425657.739188,4,13,7,1,10491
1733425657.974332,4,13,7,0,10491
1733425657.974397,4,13,7,0,0
1733425658.050295,4,13,7,1,10491
1733425658.280515,4,13,7,0,10491
1733425658.280573,4,13,7,0,0
1733425658.353888,4,13,7,1,10491
1733425658.59263,4,13,7,0,10491
1733425658.592695,4,13,7,0,0
1733425658.70067,4,13,7,1,10491
1733425658.929334,4,13,7,0,10491
1733425658.929374,4,13,7,0,0
1733425658.996516,4,13,7,1,10491
1733425659.235479,4,13,7,0,10491
1733425659.235531,4,13,7,0,0
1733425659.346543,4,13,7,1,10491
1733425659.586878,4,13,7,0,10491
1733425659.586941,4,13,7,0,0
1733425659.662274,4,13,7,1,10491
1733425659.940196,4,13,7,0,10491
1733425659.940259,4,13,7,0,0
1733425660.016507,4,13,7,1,10491
1733425660.25296,4,13,7,0,10491
1733425660.253025,4,13,7,0,0
1733425660.330642,4,13,7,1,10491
1733425660.571521,4,13,7,0,10491
1733425660.571586,4,13,7,0,0
1733425660.648531,4,13,7,1,10491
1733425660.88909,4,13,7,0,10491
1733425660.889147,4,13,7,0,0
1733425660.96211,4,13,7,1,10491
1733425661.203369,4,13,7,0,10491
1733425661.203435,4,13,7,0,0
1733425661.281208,4,13,7,1,10491
1733425661.521649,4,13,7,0,10491
1733425661.521714,4,13,7,0,0
1733425661.598836,4,13,7,1,10491
1733425661.836293,4,13,7,0,10491
1733425661.836357,4,13,7,0,0
1733425661.914826,4,13,7,1,10491
